,Cluster Index,Voxels,MAX,MAX X (mm),MAX Y (mm),MAX Z (mm),COG X (mm),COG Y (mm),COG Z (mm),zstat,stat_type
431,1,84,5.92,0,-56,-48,2.51,-52.4,-43.9,31,deactivation
432,10,2014,7.21,32,-12,4,37.4,8.16,2.4,31,activation
433,10,939,8.87,-50,-62,36,-41.9,-65.2,42.3,31,deactivation
434,11,13799,15,38,-84,8,4.88,-56.2,18.3,31,activation
435,11,2581,8.16,10,-76,-6,27.2,-73.7,-31.5,31,deactivation
436,12,3194,8.96,-6,-48,38,-1.06,-54.8,24.9,31,deactivation
437,13,11272,9.97,-56,10,34,-29.4,23.5,18.2,31,deactivation
438,2,121,9.88,16,-98,12,14.8,-97.3,13.2,31,activation
439,2,89,8.43,20,-52,-20,16,-50,-17.7,31,deactivation
440,3,235,6.49,12,-50,-56,14.3,-48.4,-49.9,31,activation
441,3,94,5.41,-12,-6,-14,-22.5,-15.9,-14.6,31,deactivation
442,4,264,7.7,40,-2,50,31.7,-2.06,60.4,31,activation
443,4,136,4.56,-4,-18,-24,-3.63,-24.6,-32.7,31,deactivation
444,5,387,6.12,-6,-76,-24,-4.3,-72.3,-23.2,31,activation
445,5,153,7.94,62,2,-12,61.2,0.968,-13.3,31,deactivation
446,6,480,7.03,36,50,24,34.3,46.4,28.3,31,activation
