ParticipantID,ROI,Cope number,Phase,Action,Regressor,Value
sub105,PAG,14,pre,SuccessfulFirstCheck,ThreatLevel,-0.5431
sub105,PAG,15,pre,firstCheck,Reward,0.8302
sub105,PAG,16,pre,firstCheck,TimePressure,-0.1573
sub105,PAG,18,pre,firstForage,Reward,-0.0041
sub105,PAG,19,pre,firstForage,TimePressure,1.4842
sub105,PAG,20,pre,firstCheck,Constant,-0.1078
sub105,PAG,21,pre,firstForage,Constant,0.7661
sub105,PAG,70,pre_plus_post,firstForage,Reward,-0.7085
sub105,PAG,73,post,firstCheck,ThreatLevel,0.8891
sub105,PAG,74,pre_plus_post,firstCheck,ThreatLevel,0.4057
sub105,PAG,63,pre,firstForage_minus_firstCheck,Reward,-0.634
sub105,SC,1,post,firstCheck,Constant,0.8738
sub105,SC,2,post,firstCheck,TimeSinceLastCheck,0.8034
sub105,SC,3,post,firstCheck,Proximity,-0.0913
sub105,SC,4,post,firstCheck,Reward,0.2453
sub105,SC,5,post,firstForage,Constant,-0.5972
sub105,SC,6,post,firstForage,TimeSinceLastCheck,0.3865
sub105,SC,7,post,firstForage,Proximity,0.9381
sub105,SC,8,post,firstForage,Reward,0.2342
sub105,SC,9,post,Hide,Constant,-2.072
sub105,SC,10,post,Hide,TimeSinceLastCheck,0.3117
sub105,SC,11,post,Hide,Proximity,-0.1647
sub105,SC,12,post,Hide,Reward,-0.2381
sub105,SC,14,pre,SuccessfulFirstCheck,ThreatLevel,-0.0321
sub105,SC,15,pre,firstCheck,Reward,0.6476
sub105,SC,16,pre,firstCheck,TimePressure,0.314
sub105,SC,18,pre,firstForage,Reward,0.2304
sub105,SC,19,pre,firstForage,TimePressure,1.6622
sub105,SC,20,pre,firstCheck,Constant,0.5589
sub105,SC,21,pre,firstForage,Constant,-0.5732
sub105,SC,70,pre_plus_post,firstForage,Reward,0.3117
sub105,SC,73,post,firstCheck,ThreatLevel,-0.3079
sub105,SC,74,pre_plus_post,firstCheck,ThreatLevel,-0.2745
